@relation InformaciónEncuestas(84)-weka.filters.unsupervised.attribute.Remove-R116

@attribute P1_1 {S,N}
@attribute P1_2 {S,N}
@attribute P1_3 {S,N}
@attribute P1_4 {S,N}
@attribute P1_5 {S,N}
@attribute P2_1 {S,N}
@attribute P2_2 {S,N}
@attribute P2_3 {S,N}
@attribute P2_4 {S,N}
@attribute P2_5 {S,N}
@attribute P3_1 {S,N}
@attribute P3_2 {S,N}
@attribute P3_3 {S,N}
@attribute P3_4 {S,N}
@attribute P3_5 {S,N}
@attribute P4_1 {S,N}
@attribute P4_2 {S,N}
@attribute P4_3 {S,N}
@attribute P4_4 {S,N}
@attribute P4_5 {S,N}
@attribute P5_1 {S,N}
@attribute P5_2 {S,N}
@attribute P5_3 {S,N}
@attribute P5_4 {S,N}
@attribute P5_5 {S,N}
@attribute P6_1 {S,N}
@attribute P6_2 {S,N}
@attribute P6_3 {S,N}
@attribute P6_4 {S,N}
@attribute P6_5 {S,N}
@attribute P6_6 {S,N}
@attribute P6_7 {S,N}
@attribute P6_8 {S,N}
@attribute P6_9 {S,N}
@attribute P7_1 {S,N}
@attribute P7_2 {S,N}
@attribute P7_3 {S,N}
@attribute P7_4 {S,N}
@attribute P7_5 {S,N}
@attribute P7_6 {S,N}
@attribute P7_7 {S,N}
@attribute P7_8 {S,N}
@attribute P7_9 {S,N}
@attribute P7_10 {S,N}
@attribute P7_11 {S,N}
@attribute P7_12 {S,N}
@attribute P7_13 {S,N}
@attribute P7_14 {S,N}
@attribute P7_15 {S,N}
@attribute P7_16 {S,N}
@attribute P7_17 {S,N}
@attribute P7_18 {S,N}
@attribute P7_19 {S,N}
@attribute P8_1 {S,N}
@attribute P8_2 {S,N}
@attribute P8_3 {S,N}
@attribute P8_4 {S,N}
@attribute P8_5 {S,N}
@attribute P8_6 {S,N}
@attribute P8_7 {S,N}
@attribute P9_1 {S,N}
@attribute P9_2 {S,N}
@attribute P9_3 {S,N}
@attribute P9_4 {S,N}
@attribute P9_5 {S,N}
@attribute P9_6 {S,N}
@attribute P9_7 {S,N}
@attribute P9_8 {S,N}
@attribute P10_1 {S,N}
@attribute P10_2 {S,N}
@attribute P10_3 {S,N}
@attribute P10_4 {S,N}
@attribute P10_5 {S,N}
@attribute P10_6 {S,N}
@attribute P11_1 {S,N}
@attribute P11_2 {S,N}
@attribute P11_3 {S,N}
@attribute P11_4 {S,N}
@attribute P11_5 {S,N}
@attribute P11_6 {S,N}
@attribute P11_7 {S,N}
@attribute P11_8 {S,N}
@attribute P11_9 {S,N}
@attribute P11_10 {S,N}
@attribute P12_1 {S,N}
@attribute P12_2 {S,N}
@attribute P12_3 {S,N}
@attribute P12_4 {S,N}
@attribute P12_5 {S,N}
@attribute P12_6 {S,N}
@attribute P12_7 {S,N}
@attribute P13_1 {S,N}
@attribute P13_2 {S,N}
@attribute P13_3 {S,N}
@attribute P13_4 {S,N}
@attribute P13_5 {S,N}
@attribute P13_6 {S,N}
@attribute P13_7 {S,N}
@attribute P13_8 {S,N}
@attribute P13_9 {S,N}
@attribute P13_10 {S,N}
@attribute P13_11 {S,N}
@attribute P13_12 {S,N}
@attribute P13_13 {S,N}
@attribute P13_14 {S,N}
@attribute P13_15 {S,N}
@attribute P13_16 {S,N}
@attribute P13_17 {S,N}
@attribute P13_18 {S,N}
@attribute P14_1 {S,N}
@attribute P14_2 {S,N}
@attribute P14_3 {S,N}
@attribute P15_1 {S,N}
@attribute P15_2 {S,N}
@attribute P15_3 {S,N}
@attribute P16_1 {S,N}
@attribute P16_2 {S,N}
@attribute P16_3 {S,N}
@attribute P16_4 {S,N}
@attribute P16_5 {S,N}
@attribute P16_6 {S,N}
@attribute P16_7 {S,N}
@attribute P16_8 {S,N}
@attribute P16_9 {S,N}
@attribute P16_10 {S,N}
@attribute P16_11 {S,N}
@attribute P16_12 {S,N}
@attribute P16_13 {S,N}
@attribute P16_14 {S,N}
@attribute P16_15 {S,N}
@attribute P16_16 {S,N}
@attribute P16_17 {S,N}
@attribute P16_18 {S,N}
@attribute P16_19 {S,N}
@attribute P16_20 {S,N}
@attribute P16_21 {S,N}
@attribute P16_22 {S,N}
@attribute P17_1 {S,N}
@attribute P17_2 {S,N}
@attribute P17_3 {S,N}
@attribute P17_4 {S,N}
@attribute P17_5 {S,N}
@attribute P17_6 {S,N}
@attribute P17_7 {S,N}
@attribute P17_8 {S,N}
@attribute P17_9 {S,N}
@attribute P17_10 {S,N}
@attribute P17_11 {S,N}
@attribute P17_12 {S,N}
@attribute P17_13 {S,N}
@attribute P17_14 {S,N}
@attribute P17_15 {S,N}
@attribute P17_16 {S,N}
@attribute P17_17 {S,N}
@attribute P17_18 {S,N}
@attribute P17_19 {S,N}
@attribute P17_20 {S,N}
@attribute P17_21 {S,N}
@attribute P17_22 {S,N}
@attribute P17_23 {S,N}
@attribute P17_24 {S,N}
@attribute P17_25 {S,N}
@attribute P17_26 {S,N}
@attribute P17_27 {S,N}
@attribute P17_28 {S,N}
@attribute P17_29 {S,N}
@attribute P17_30 {S,N}
@attribute P17_31 {S,N}
@attribute clase {1,2}

@data
S,?,?,S,S,S,?,S,?,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,S,?,S,?,S,S,?,?,?,S,?,?,?,?,?,?,?,?,?,S,S,S,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,S,?,S,?,?,?,?,?,?,S,S,?,S,S,S,S,?,S,?,S,?,?,S,?,S,?,?,S,S,S,?,?,S,?,?,S,S,?,?,?,?,?,?,?,?,?,S,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,S,S,?,?,?,?,?,?,?,S,?,?,?,S,?,S,?,S,?,S,?,S,?,?,?,?,?,S,?,?,?,S,?,?,S,?,S,?,?,?,S,?,S,?,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,S,S,?,S,?,S,?,?,S,S,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,?,?,S,S,?,?,?,S,?,?,?,S,?,?,?,?,?,?,S,S,?,?,?,S,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,S,?,?,S,?,?,?,?,S,S,S,?,?,?,?,?,?,?,S,?,S,?,?,S,?,?,S,?,S,?,S,?,?,?,S,S,?,?,?,S,S,?,?,?,?,?,S,?,S,?,?,?,S,S,S,S,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,S,?,?,?,?,?,?,?,S,?,?,S,?,?,S,?,?,?,?,?,S,?,?,?,S,?,S,S,S,S,?,?,S,?,?,?,?,?,?,?,S,S,?,?,?,?,?,?,S,?,?,?,?,S,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,?,?,?,?,?,?,S,?,?,?,?,S,?,?,?,?,?,?,S,S,?,?,?,?,?,?,?,S,?,S,?,?,S,?,?,?,?,?,?,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,S,S,S,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,S,?,?,?,S,?,S,?,?,S,S,S,?,?,?,?,?,?,S,?,?,?,?,?,S,S,?,S,?,S,S,?,S,?,?,S,S,?,?,?,S,S,?,?,?,?,S,?,S,S,?,?,?,?,S,S,S,S,?,?,?,?,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,S,?,?,?,?,?,S,?,?,S,S,S,?,?,?,?,?,?,?,?,?,?,?,S,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,?,?,?,S,?,?,?,S,S,S,?,?,?,?,?,S,?,?,S,?,?,?,?,?,S,?,?,S,S,S,?,S,S,?,?,S,S,?,S,?,?,S,?,?,?,?,S,?,S,S,S,?,?,?,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,?,?,?,?,?,?,?,?,?,S,?,S,?,?,S,S,?,S,S,?,?,?,?,?,?,?,?,S,?,?,?,S,S,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,S,?,S,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,S,?,?,S,?,?,?,?,S,S,?,S,S,S,S,S,S,?,?,?,?,?,?,S,S,S,S,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,S,S,?,S,?,?,?,?,?,?,?,S,?,S,?,S,?,?,?,?,S,?,?,S,?,S,?,?,?,?,?,?,?,?,?,?,S,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,?,S,S,?,S,?,?,S,?,S,?,S,S,S,?,S,?,S,?,?,?,?,?,?,?,?,?,S,?,?,?,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,?,?,?,?,?,?,S,S,?,?,?,S,?,S,?,?,S,?,S,?,S,?,S,?,S,?,S,?,S,?,?,?,S,S,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,S,S,S,?,S,?,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,1
?,?,S,?,S,?,?,?,?,?,S,S,S,?,?,S,?,S,?,?,S,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,?,?,S,S,S,?,S,?,?,S,S,?,S,S,S,S,?,?,S,?,S,?,?,?,S,?,?,S,?,?,?,S,S,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,S,?,?,?,?,?,S,?,?,S,?,S,?,?,S,?,S,?,?,?,?,?,?,S,S,?,?,S,?,?,?,?,?,S,?,?,S,?,?,?,S,S,?,?,?,S,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,?,S,?,S,?,?,S,?,S,?,?,?,?,?,?,S,S,?,?,?,?,S,?,?,S,?,S,?,S,S,S,S,S,S,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,S,S,S,S,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,S,S,?,?,?,?,?,?,?,?,1
?,?,S,?,?,S,?,S,?,?,S,S,S,?,?,S,?,S,?,?,?,?,?,?,?,S,?,?,S,?,?,?,?,?,S,?,S,S,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,S,?,?,?,S,?,?,S,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,1
?,?,?,?,S,S,?,S,?,?,?,S,?,?,?,S,?,S,?,?,S,?,S,?,S,S,?,?,S,?,S,?,S,?,?,?,S,S,S,?,?,S,S,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,1
?,S,?,?,S,S,?,S,?,?,S,?,?,?,?,?,?,S,?,?,?,?,?,?,S,S,?,?,S,?,S,?,?,?,?,?,?,S,?,S,?,S,S,?,?,?,?,S,?,S,?,?,?,?,?,?,?,S,S,?,?,?,S,?,S,?,S,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,S,?,?,S,S,?,S,S,S,?,?,?,?,S,?,S,?,?,?,?,S,S,S,S,S,?,S,S,?,?,?,?,S,S,?,?,?,S,S,?,?,?,?,S,?,?,S,?,?,?,?,?,?,S,?,?,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,S,?,?,S,?,?,S,?,?,S,?,?,?,?,S,?,S,?,?,S,S,S,?,?,?,?,S,S,?,S,?,?,S,?,?,?,?,S,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,S,?,?,S,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,S,S,?,?,?,?,?,?,?,S,S,?,?,?,S,?,S,S,?,S,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,S,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,1
?,S,?,?,?,S,?,S,?,?,S,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,S,S,S,?,?,?,?,?,?,?,S,?,?,?,?,S,S,?,?,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,S,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
S,?,?,?,?,S,?,?,?,?,S,?,S,S,S,S,S,S,?,?,?,?,?,?,?,?,?,?,S,?,?,?,S,?,?,?,S,S,?,?,?,?,?,?,?,?,S,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,S,?,?,?,S,S,?,?,?,?,?,S,?,S,?,?,?,?,?,?,S,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,S,?,?,?,?,?,?,?,?,S,?,?,?,?,?,S,S,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,S,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,1
?,?,?,?,S,S,?,?,?,?,?,S,?,?,?,S,?,S,?,?,?,?,?,?,S,?,?,?,S,?,?,?,S,?,?,?,?,S,?,S,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,1
?,?,?,?,S,S,?,S,?,?,?,?,?,?,?,S,?,S,?,?,?,?,?,?,?,S,?,?,S,?,S,?,S,S,?,?,S,?,?,?,S,S,S,?,?,?,?,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,2
?,?,?,?,?,S,?,?,?,?,?,S,?,?,?,?,?,S,?,?,?,?,?,?,S,?,?,S,S,?,S,?,S,?,?,?,S,?,?,S,?,S,S,?,?,?,?,S,?,?,S,?,?,?,?,?,S,S,S,?,?,?,S,?,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,S,?,2
S,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,S,?,?,?,?,S,?,?,S,S,?,S,?,S,?,?,?,?,?,?,?,S,S,?,S,?,?,S,?,S,?,?,?,?,?,?,S,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,2
S,S,?,?,S,S,?,?,?,?,S,S,?,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,S,?,?,?,?,S,?,?,?,S,?,?,?,S,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,S,?,S,S,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
